,fight,loser,odds_l,odds_w,winner,FIGHTERS
1591,Ryan Benoit vs Freddy Serrano,Freddy-Serrano,1.94,2.0,Ryan-Benoit,Freddy-Serrano vs. Ryan-Benoit
1592,Nikita Krylov vs Ed Herman,Ed-Herman,3.06,1.48,Nikita-Krylov,Ed-Herman vs. Nikita-Krylov
1593,Ross Pearson vs Jorge Masvidal,Ross-Pearson,3.31,1.4,Jorge-Masvidal,Jorge-Masvidal vs. Ross-Pearson
1594,Damian Grabowski vs Anthony Hamilton,Damian-Grabowski,2.2,1.8,Anthony-Hamilton,Anthony-Hamilton vs. Damian-Grabowski
1595,Hector Sandoval vs Wilson Reis,Hector-Sandoval,4.1,1.33,Wilson-Reis,Hector-Sandoval vs. Wilson-Reis
1596,Damien Brown vs Cesar Arzamendia,Cesar-Arzamendia,2.05,1.91,Damien-Brown,Cesar-Arzamendia vs. Damien-Brown
1597,Holly Holm vs Valentina Shevchenko,Holly-Holm,1.5,3.25,Valentina-Shevchenko,Holly-Holm vs. Valentina-Shevchenko
1598,Edson Barboza vs Gilbert Melendez,Gilbert-Melendez,2.8,1.53,Edson-Barboza,Edson-Barboza vs. Gilbert-Melendez
1599,Francis Ngannou vs Bojan Mihajlovic,Bojan-Mihajlovic,6.0,1.17,Francis-Ngannou,Bojan-Mihajlovic vs. Francis-Ngannou
1600,Felice Herrig vs Kailin Curran,Kailin-Curran,1.95,2.0,Felice-Herrig,Felice-Herrig vs. Kailin-Curran
1601,Eddie Wineland vs Frankie Saenz,Frankie-Saenz,1.68,2.4,Eddie-Wineland,Eddie-Wineland vs. Frankie-Saenz
1602,Darren Elkins vs Godofredo Pepey,Godofredo-Pepey,3.1,1.48,Darren-Elkins,Darren-Elkins vs. Godofredo-Pepey
1603,Alexander Yakovlev vs Kamaru Usman,Alexander-Yakovlev,3.3,1.44,Kamaru-Usman,Alexander-Yakovlev vs. Kamaru-Usman
1604,Michel Prazeres vs J.C. Cottrell,J.C.-Cottrell,3.0,1.46,Michel-Prazeres,J.C.-Cottrell vs. Michel-Prazeres
1605,Alex Oliveira vs James Moontasri,James-Moontasri,2.88,1.5,Alex-Oliveira,Alex-Oliveira vs. James-Moontasri
1606,Jim Alers vs Jason Knight,Jim-Alers,1.71,2.8,Jason-Knight,Jason-Knight vs. Jim-Alers
1607,Luis Henrique vs Dmitry Smoliakov,Dmitry-Smoliakov,1.69,2.4,Luis-Henrique,Dmitry-Smoliakov vs. Luis-Henrique
1608,John Lineker vs Michael McDonald,Michael-McDonald,2.5,1.67,John-Lineker,John-Lineker vs. Michael-McDonald
1609,Tony Ferguson vs Lando Vannata,Lando-Vannata,7.05,1.15,Tony-Ferguson,Lando-Vannata vs. Tony-Ferguson
1610,Tim Boetsch vs Josh Samman,Josh-Samman,1.48,2.95,Tim-Boetsch,Josh-Samman vs. Tim-Boetsch
1611,Louis Smolka vs Ben Nguyen,Ben-Nguyen,1.8,2.15,Louis-Smolka,Ben-Nguyen vs. Louis-Smolka
1612,Aleksei Oleinik vs Daniel Omielanczuk,Aleksei-Oleinik,1.53,2.75,Daniel-Omielanczuk,Aleksei-Oleinik vs. Daniel-Omielanczuk
1613,Kyle Noke vs Keita Nakamura,Kyle-Noke,1.63,2.5,Keita-Nakamura,Keita-Nakamura vs. Kyle-Noke
1614,Lauren Murphy vs Katlyn Chookagian,Lauren-Murphy,1.56,2.7,Katlyn-Chookagian,Katlyn-Chookagian vs. Lauren-Murphy
1615,Sam Alvey vs Eric Spicely,Eric-Spicely,3.45,1.38,Sam-Alvey,Eric-Spicely vs. Sam-Alvey
1616,Cortney Casey vs Cristina Stanciu,Cristina-Stanciu,1.68,2.4,Cortney-Casey,Cortney-Casey vs. Cristina-Stanciu
1617,Scott Holtzman vs Cody Pfister,Cody-Pfister,3.55,1.36,Scott-Holtzman,Cody-Pfister vs. Scott-Holtzman
1618,Rani Yahya vs Matthew Lopez,Matthew-Lopez,1.69,2.5,Rani-Yahya,Matthew-Lopez vs. Rani-Yahya
1619,Alex Nicholson vs Devin Clark,Devin-Clark,1.47,3.05,Alex-Nicholson,Alex-Nicholson vs. Devin-Clark
1620,Brock Lesnar vs Mark Hunt,Mark-Hunt,1.69,2.4,Brock-Lesnar,Brock-Lesnar vs. Mark-Hunt
1621,Miesha Tate vs Amanda Nunes,Miesha-Tate,1.41,3.25,Amanda-Nunes,Amanda-Nunes vs. Miesha-Tate
1622,Jose Aldo vs Frankie Edgar,Frankie-Edgar,1.94,2.0,Jose-Aldo,Frankie-Edgar vs. Jose-Aldo
1623,Daniel Cormier vs Anderson Silva,Anderson-Silva,5.1,1.28,Daniel-Cormier,Anderson-Silva vs. Daniel-Cormier
1624,Cain Velasquez vs Travis Browne,Travis-Browne,3.46,1.36,Cain-Velasquez,Cain-Velasquez vs. Travis-Browne
1625,T.J. Dillashaw vs Raphael Assuncao,Raphael-Assuncao,4.09,1.32,T.J.-Dillashaw,Raphael-Assuncao vs. T.J.-Dillashaw
1626,Cat Zingano vs Julianna Pena,Cat-Zingano,1.7,2.35,Julianna-Pena,Cat-Zingano vs. Julianna-Pena
1627,Johny Hendricks vs Kelvin Gastelum,Johny-Hendricks,1.98,1.94,Kelvin-Gastelum,Johny-Hendricks vs. Kelvin-Gastelum
1628,Sage Northcutt vs Enrique Marin,Enrique-Marin,4.05,1.3,Sage-Northcutt,Enrique-Marin vs. Sage-Northcutt
1629,Joe Lauzon vs Diego Sanchez,Diego-Sanchez,1.91,2.05,Joe-Lauzon,Diego-Sanchez vs. Joe-Lauzon
1630,Gegard Mousasi vs Thiago Santos,Thiago-Santos,3.25,1.43,Gegard-Mousasi,Gegard-Mousasi vs. Thiago-Santos
1631,Jim Miller vs Takanori Gomi,Takanori-Gomi,3.41,1.38,Jim-Miller,Jim-Miller vs. Takanori-Gomi
1632,Joanna Jedrzejczyk vs Claudia Gadelha,Claudia-Gadelha,2.1,1.83,Joanna-Jedrzejczyk,Claudia-Gadelha vs. Joanna-Jedrzejczyk
1633,Andrew Sanchez vs Khalil Rountree,Khalil-Rountree,2.56,1.61,Andrew-Sanchez,Andrew-Sanchez vs. Khalil-Rountree
1634,Tatiana Suarez vs Amanda Cooper,Amanda-Cooper,4.36,1.28,Tatiana-Suarez,Amanda-Cooper vs. Tatiana-Suarez
1635,Ross Pearson vs Will Brooks,Ross-Pearson,4.4,1.29,Will-Brooks,Ross-Pearson vs. Will-Brooks
1636,Doo Ho Choi vs Thiago Tavares,Thiago-Tavares,2.95,1.51,Doo-Ho-Choi,Doo-Ho-Choi vs. Thiago-Tavares
1637,Andrew Holbrook vs Joaquim Silva,Andrew-Holbrook,2.08,1.85,Joaquim-Silva,Andrew-Holbrook vs. Joaquim-Silva
1638,Fernando Bruno vs Gray Maynard,Fernando-Bruno,2.48,1.64,Gray-Maynard,Fernando-Bruno vs. Gray-Maynard
1639,John Moraga vs Matheus Nicolau,John-Moraga,1.69,2.5,Matheus-Nicolau,John-Moraga vs. Matheus-Nicolau
1640,Cory Hendricks vs Josh Stansbury,Cory-Hendricks,2.28,1.77,Josh-Stansbury,Cory-Hendricks vs. Josh-Stansbury
1641,Cezar Ferreira vs Anthony Smith,Anthony-Smith,1.76,2.25,Cezar-Ferreira,Anthony-Smith vs. Cezar-Ferreira
1642,Jake Matthews vs Kevin Lee,Jake-Matthews,1.74,2.26,Kevin-Lee,Jake-Matthews vs. Kevin-Lee
1643,Li Jingliang vs Anton Zafir,Anton-Zafir,3.84,1.32,Li-Jingliang,Anton-Zafir vs. Li-Jingliang
1644,Rafael dos Anjos vs Eddie Alvarez,Rafael-dos-Anjos,1.35,3.6,Eddie-Alvarez,Eddie-Alvarez vs. Rafael-dos-Anjos
1645,Roy Nelson vs Derrick Lewis,Roy-Nelson,1.95,2.05,Derrick-Lewis,Derrick-Lewis vs. Roy-Nelson
1646,Alan Jouban vs Belal Muhammad,Belal-Muhammad,2.2,1.91,Alan-Jouban,Alan-Jouban vs. Belal-Muhammad
1647,Joseph Duffy vs Mitch Clarke,Mitch-Clarke,4.55,1.3,Joseph-Duffy,Joseph-Duffy vs. Mitch-Clarke
1648,Mike Pyle vs Alberto Mina,Mike-Pyle,1.87,2.05,Alberto-Mina,Alberto-Mina vs. Mike-Pyle
1649,John Makdessi vs Mehdi Baghdad,Mehdi-Baghdad,2.2,1.77,John-Makdessi,John-Makdessi vs. Mehdi-Baghdad
1650,Anthony Birchak vs Dileno Lopes,Dileno-Lopes,3.05,1.46,Anthony-Birchak,Anthony-Birchak vs. Dileno-Lopes
1651,Russell Doane vs Pedro Munhoz,Russell-Doane,3.0,1.5,Pedro-Munhoz,Pedro-Munhoz vs. Russell-Doane
1652,Felipe Arantes vs Jerrod Sanders,Jerrod-Sanders,2.45,1.67,Felipe-Arantes,Felipe-Arantes vs. Jerrod-Sanders
1653,Gilbert Burns vs Lukasz Sajewski,Lukasz-Sajewski,3.3,1.44,Gilbert-Burns,Gilbert-Burns vs. Lukasz-Sajewski
1654,Reginaldo Vieira vs Marco Beltran,Reginaldo-Vieira,1.8,2.2,Marco-Beltran,Marco-Beltran vs. Reginaldo-Vieira
1655,Alvaro Herrera vs Vicente Luque,Alvaro-Herrera,4.45,1.28,Vicente-Luque,Alvaro-Herrera vs. Vicente-Luque
1656,Rory MacDonald vs Stephen Thompson,Rory-MacDonald,1.91,2.03,Stephen-Thompson,Rory-MacDonald vs. Stephen-Thompson
1657,Donald Cerrone vs Patrick Cote,Patrick-Cote,2.38,1.71,Donald-Cerrone,Donald-Cerrone vs. Patrick-Cote
1658,Steve Bosse vs Sean O'Connell,Sean-O'Connell,2.25,1.74,Steve-Bosse,"[""Sean-O'Connell"", 'Steve-Bosse"
1659,Olivier Aubin-Mercier vs Thibault Gouti,Thibault-Gouti,4.28,1.29,Olivier-Aubin-Mercier,Olivier-Aubin-Mercier vs. Thibault-Gouti
1660,Valerie Letourneau vs Joanne Calderwood,Valerie-Letourneau,1.68,2.5,Joanne-Calderwood,Joanne-Calderwood vs. Valerie-Letourneau
1661,Jason Saggo vs Leandro Silva,Leandro-Silva,2.13,1.88,Jason-Saggo,Jason-Saggo vs. Leandro-Silva
1662,Misha Cirkunov vs Ion Cutelaba,Ion-Cutelaba,2.81,1.5,Misha-Cirkunov,Ion-Cutelaba vs. Misha-Cirkunov
1663,Tamdan McCrory vs Krzysztof Jotko,Tamdan-McCrory,1.58,2.75,Krzysztof-Jotko,Krzysztof-Jotko vs. Tamdan-McCrory
1664,Joe Soto vs Chris Beal,Chris-Beal,2.08,1.91,Joe-Soto,Chris-Beal vs. Joe-Soto
1665,Elias Theodorou vs Sam Alvey,Sam-Alvey,3.25,1.43,Elias-Theodorou,Elias-Theodorou vs. Sam-Alvey
1666,Randa Markos vs Jocelyn Jones-Lybarger,Jocelyn-Jones-Lybarger,2.25,1.81,Randa-Markos,Jocelyn-Jones-Lybarger vs. Randa-Markos
1667,Jonathan Meunier vs Colby Covington,Jonathan-Meunier,3.25,1.44,Colby-Covington,Colby-Covington vs. Jonathan-Meunier
1668,Ali Bagautinov vs Geane Herrera,Geane-Herrera,3.25,1.4,Ali-Bagautinov,Ali-Bagautinov vs. Geane-Herrera
1669,Luke Rockhold vs Michael Bisping,Luke-Rockhold,1.19,6.4,Michael-Bisping,Luke-Rockhold vs. Michael-Bisping
1670,Dominick Cruz vs Urijah Faber,Urijah-Faber,4.7,1.27,Dominick-Cruz,Dominick-Cruz vs. Urijah-Faber
1671,Max Holloway vs Ricardo Lamas,Ricardo-Lamas,3.55,1.39,Max-Holloway,Max-Holloway vs. Ricardo-Lamas
1672,Dan Henderson vs Hector Lombard,Hector-Lombard,1.31,4.15,Dan-Henderson,Dan-Henderson vs. Hector-Lombard
1673,Dustin Poirier vs Bobby Green,Bobby-Green,2.6,1.61,Dustin-Poirier,Bobby-Green vs. Dustin-Poirier
1674,Clay Guida vs Brian Ortega,Clay-Guida,3.2,1.42,Brian-Ortega,Brian-Ortega vs. Clay-Guida
1675,Beneil Dariush vs James Vick,James-Vick,2.4,1.74,Beneil-Dariush,Beneil-Dariush vs. James-Vick
1676,Jessica Penne vs Jessica Andrade,Jessica-Penne,2.05,1.95,Jessica-Andrade,Jessica-Andrade vs. Jessica-Penne
1677,Alex Caceres vs Cole Miller,Cole-Miller,1.61,2.65,Alex-Caceres,Alex-Caceres vs. Cole-Miller
1678,Tom Breese vs Sean Strickland,Tom-Breese,1.95,2.1,Sean-Strickland,Sean-Strickland vs. Tom-Breese
1679,Jonathan Wilson vs Luis Henrique da Silva,Jonathan-Wilson,1.63,2.65,Luis-Henrique-da-Silva,Jonathan-Wilson vs. Luis-Henrique-da-Silva
1680,Marco Polo Reyes vs Dong Hyun Ma,Dong-Hyun-Ma,2.0,1.95,Marco-Polo-Reyes,Dong-Hyun-Ma vs. Marco-Polo-Reyes
1681,Thomas Almeida vs Cody Garbrandt,Thomas-Almeida,1.59,2.6,Cody-Garbrandt,Cody-Garbrandt vs. Thomas-Almeida
1682,Renan Barao vs Jeremy Stephens,Renan-Barao,1.67,2.5,Jeremy-Stephens,Jeremy-Stephens vs. Renan-Barao
1683,Tarec Saffiedine vs Rick Story,Tarec-Saffiedine,2.1,1.91,Rick-Story,Rick-Story vs. Tarec-Saffiedine
1684,Vitor Miranda vs Chris Camozzi,Vitor-Miranda,1.83,2.15,Chris-Camozzi,Chris-Camozzi vs. Vitor-Miranda
1685,Jorge Masvidal vs Lorenz Larkin,Jorge-Masvidal,2.0,2.0,Lorenz-Larkin,Jorge-Masvidal vs. Lorenz-Larkin
1686,Josh Burkman vs Paul Felder,Josh-Burkman,3.65,1.35,Paul-Felder,Josh-Burkman vs. Paul-Felder
1687,Jessica Eye vs Sara McMann,Jessica-Eye,2.25,1.8,Sara-McMann,Jessica-Eye vs. Sara-McMann
1688,Abel Trujillo vs Jordan Rinaldi,Jordan-Rinaldi,3.7,1.36,Abel-Trujillo,Abel-Trujillo vs. Jordan-Rinaldi
1689,Jake Collier vs Alberto Emiliano Pereira,Alberto-Emiliano-Pereira,2.05,1.91,Jake-Collier,Alberto-Emiliano-Pereira vs. Jake-Collier
1690,Erik Koch vs Shane Campbell,Shane-Campbell,1.75,2.3,Erik-Koch,Erik-Koch vs. Shane-Campbell
1691,Aljamain Sterling vs Bryan Caraway,Aljamain-Sterling,1.34,4.0,Bryan-Caraway,Aljamain-Sterling vs. Bryan-Caraway
1692,Chris de la Rocha vs Adam Milstead,Chris-de-la-Rocha,3.25,1.41,Adam-Milstead,Adam-Milstead vs. Chris-de-la-Rocha
1693,Fabricio Werdum vs Stipe Miocic,Fabricio-Werdum,1.67,2.5,Stipe-Miocic,Fabricio-Werdum vs. Stipe-Miocic
1694,Ronaldo Souza vs Vitor Belfort,Vitor-Belfort,3.85,1.37,Ronaldo-Souza,Ronaldo-Souza vs. Vitor-Belfort
1695,Cristiane Justino vs Leslie Smith,Leslie-Smith,14.05,1.1,Cristiane-Justino,Cristiane-Justino vs. Leslie-Smith
1696,Mauricio Rua vs Corey Anderson,Corey-Anderson,1.69,2.4,Mauricio-Rua,Corey-Anderson vs. Mauricio-Rua
1697,Warlley Alves vs Bryan Barberena,Warlley-Alves,1.21,5.8,Bryan-Barberena,Bryan-Barberena vs. Warlley-Alves
1698,Demian Maia vs Matt Brown,Matt-Brown,3.95,1.34,Demian-Maia,Demian-Maia vs. Matt-Brown
1699,Nate Marquardt vs Thiago Santos,Nate-Marquardt,4.0,1.31,Thiago-Santos,Nate-Marquardt vs. Thiago-Santos
1700,Yancy Medeiros vs Francisco Trinaldo,Yancy-Medeiros,3.05,1.46,Francisco-Trinaldo,Francisco-Trinaldo vs. Yancy-Medeiros
1701,John Lineker vs Rob Font,Rob-Font,2.4,1.69,John-Lineker,John-Lineker vs. Rob-Font
1702,Patrick Cummins vs Rogerio Nogueira,Patrick-Cummins,1.43,3.2,Rogerio-Nogueira,Patrick-Cummins vs. Rogerio-Nogueira
1703,Renato Moicano vs Zubaira Tukhugov,Zubaira-Tukhugov,1.65,2.45,Renato-Moicano,Renato-Moicano vs. Zubaira-Tukhugov
1704,Alistair Overeem vs Andrei Arlovski,Andrei-Arlovski,3.0,1.49,Alistair-Overeem,Alistair-Overeem vs. Andrei-Arlovski
1705,Stefan Struve vs Antonio Silva,Antonio-Silva,2.9,1.53,Stefan-Struve,Antonio-Silva vs. Stefan-Struve
1706,Albert Tumenov vs Gunnar Nelson,Albert-Tumenov,1.61,2.55,Gunnar-Nelson,Albert-Tumenov vs. Gunnar-Nelson
1707,Germaine de Randamie vs Anna Elmose,Anna-Elmose,4.35,1.29,Germaine-de-Randamie,Anna-Elmose vs. Germaine-de-Randamie
1708,Nikita Krylov vs Francimar Barroso,Francimar-Barroso,2.9,1.5,Nikita-Krylov,Francimar-Barroso vs. Nikita-Krylov
1709,Karolina Kowalkiewicz vs Heather Clark,Heather-Clark,3.45,1.4,Karolina-Kowalkiewicz,Heather-Clark vs. Karolina-Kowalkiewicz
1710,Rustam Khabilov vs Chris Wade,Chris-Wade,2.75,1.57,Rustam-Khabilov,Chris-Wade vs. Rustam-Khabilov
1711,Garreth McLellan vs Magnus Cedenblad,Garreth-McLellan,3.65,1.36,Magnus-Cedenblad,Garreth-McLellan vs. Magnus-Cedenblad
1712,Josh Emmett vs Jon Tuck,Jon-Tuck,1.76,2.35,Josh-Emmett,Jon-Tuck vs. Josh-Emmett
1713,Reza Madadi vs Yan Cabral,Yan-Cabral,1.64,2.5,Reza-Madadi,Reza-Madadi vs. Yan-Cabral
1714,Kyoji Horiguchi vs Neil Seery,Neil-Seery,6.25,1.2,Kyoji-Horiguchi,Kyoji-Horiguchi vs. Neil-Seery
1715,Dominic Waters vs Leon Edwards,Dominic-Waters,3.33,1.4,Leon-Edwards,Dominic-Waters vs. Leon-Edwards
1716,Yuta Sasaki vs Willie Gates,Willie-Gates,1.77,2.25,Yuta-Sasaki,Willie-Gates vs. Yuta-Sasaki
1717,Jon Jones vs Ovince St Preux,Ovince-St-Preux,6.18,1.18,Jon-Jones,Jon-Jones vs. Ovince-St-Preux
1718,Anthony Pettis vs Edson Barboza,Anthony-Pettis,1.63,2.55,Edson-Barboza,Anthony-Pettis vs. Edson-Barboza
1719,Robert Whittaker vs Rafael Natal,Rafael-Natal,3.75,1.35,Robert-Whittaker,Rafael-Natal vs. Robert-Whittaker
1720,Andre Fili vs Yair Rodriguez,Andre-Fili,2.15,1.83,Yair-Rodriguez,Andre-Fili vs. Yair-Rodriguez
1721,Sergio Pettis vs Chris Kelades,Chris-Kelades,2.95,1.47,Sergio-Pettis,Chris-Kelades vs. Sergio-Pettis
1722,Danny Roberts vs Dominique Steele,Dominique-Steele,4.25,1.29,Danny-Roberts,Danny-Roberts vs. Dominique-Steele
1723,Carla Esparza vs Juliana Lima,Juliana-Lima,2.7,1.54,Carla-Esparza,Carla-Esparza vs. Juliana-Lima
1724,James Vick vs Glaico Franca,Glaico-Franca,2.65,1.57,James-Vick,Glaico-Franca vs. James-Vick
1725,Walt Harris vs Cody East,Cody-East,1.62,2.65,Walt-Harris,Cody-East vs. Walt-Harris
1726,Marcos Rogerio de Lima vs Clint Hester,Clint-Hester,2.18,1.78,Marcos-Rogerio-de-Lima,Clint-Hester vs. Marcos-Rogerio-de-Lima
1727,Kevin Lee vs Efrain Escudero,Efrain-Escudero,4.48,1.29,Kevin-Lee,Efrain-Escudero vs. Kevin-Lee
1728,Rashad Evans vs Glover Teixeira,Rashad-Evans,2.85,1.53,Glover-Teixeira,Glover-Teixeira vs. Rashad-Evans
1729,Rose Namajunas vs Tecia Torres,Tecia-Torres,2.65,1.61,Rose-Namajunas,Rose-Namajunas vs. Tecia-Torres
1730,Darrell Horcher vs Khabib Nurmagomedov,Darrell-Horcher,8.5,1.12,Khabib-Nurmagomedov,Darrell-Horcher vs. Khabib-Nurmagomedov
1731,Cub Swanson vs Hacran Dias,Hacran-Dias,2.05,1.94,Cub-Swanson,Cub-Swanson vs. Hacran-Dias
1732,Michael Chiesa vs Beneil Dariush,Beneil-Dariush,1.61,2.55,Michael-Chiesa,Beneil-Dariush vs. Michael-Chiesa
1733,Bethe Correia vs Raquel Pennington,Bethe-Correia,2.9,1.49,Raquel-Pennington,Bethe-Correia vs. Raquel-Pennington
1734,Court McGee vs Santiago Ponzinibbio,Court-McGee,2.45,1.67,Santiago-Ponzinibbio,Court-McGee vs. Santiago-Ponzinibbio
1735,Randy Brown vs Michael Graves,Randy-Brown,2.2,1.8,Michael-Graves,Michael-Graves vs. Randy-Brown
1736,John Dodson vs Manny Gamburyan,Manny-Gamburyan,5.6,1.2,John-Dodson,John-Dodson vs. Manny-Gamburyan
1737,Cezar Ferreira vs Oluwale Bamgbose,Oluwale-Bamgbose,1.51,2.8,Cezar-Ferreira,Cezar-Ferreira vs. Oluwale-Bamgbose
1738,Omari Akhmedov vs Elizeu Zaleski dos Santos,Omari-Akhmedov,1.8,2.25,Elizeu-Zaleski-dos-Santos,Elizeu-Zaleski-dos-Santos vs. Omari-Akhmedov
1739,Ben Rothwell vs Junior dos Santos,Ben-Rothwell,2.15,1.87,Junior-dos-Santos,Ben-Rothwell vs. Junior-dos-Santos
1740,Gabriel Gonzaga vs Derrick Lewis,Gabriel-Gonzaga,2.35,1.69,Derrick-Lewis,Derrick-Lewis vs. Gabriel-Gonzaga
1741,Marcin Tybura vs Timothy Johnson,Marcin-Tybura,1.74,2.3,Timothy-Johnson,Marcin-Tybura vs. Timothy-Johnson
1742,Jan Blachowicz vs Igor Pokrajac,Igor-Pokrajac,4.0,1.31,Jan-Blachowicz,Igor-Pokrajac vs. Jan-Blachowicz
1743,Maryna Moroz vs Cristina Stanciu,Cristina-Stanciu,2.65,1.59,Maryna-Moroz,Cristina-Stanciu vs. Maryna-Moroz
1744,Nicolas Dalby vs Zak Cummings,Nicolas-Dalby,1.91,2.08,Zak-Cummings,Nicolas-Dalby vs. Zak-Cummings
1745,Ian Entwistle vs Alejandro Perez,Ian-Entwistle,1.71,2.37,Alejandro-Perez,Alejandro-Perez vs. Ian-Entwistle
1746,Mairbek Taisumov vs Damir Hadzovic,Damir-Hadzovic,4.15,1.34,Mairbek-Taisumov,Damir-Hadzovic vs. Mairbek-Taisumov
1747,Damian Stasiak vs Filip Pejic,Filip-Pejic,2.1,1.83,Damian-Stasiak,Damian-Stasiak vs. Filip-Pejic
1748,Lucas Martins vs Robert Whiteford,Robert-Whiteford,2.1,1.89,Lucas-Martins,Lucas-Martins vs. Robert-Whiteford
1749,Cyril Asker vs Jared Cannonier,Cyril-Asker,2.4,1.68,Jared-Cannonier,Cyril-Asker vs. Jared-Cannonier
1750,Bojan Velickovic vs Alessio Di Chirico,Alessio-Di-Chirico,2.73,1.54,Bojan-Velickovic,Alessio-Di-Chirico vs. Bojan-Velickovic
1751,Frank Mir vs Mark Hunt,Frank-Mir,2.2,1.77,Mark-Hunt,Frank-Mir vs. Mark-Hunt
1752,Hector Lombard vs Neil Magny,Hector-Lombard,1.95,2.0,Neil-Magny,Hector-Lombard vs. Neil-Magny
1753,Jake Matthews vs Johnny Case,Johnny-Case,1.95,2.05,Jake-Matthews,Jake-Matthews vs. Johnny-Case
1754,Daniel Kelly vs Antonio Carlos Junior,Antonio-Carlos-Junior,1.25,5.0,Daniel-Kelly,Antonio-Carlos-Junior vs. Daniel-Kelly
1755,James Te Huna vs Steve Bosse,James-Te-Huna,1.41,3.3,Steve-Bosse,James-Te-Huna vs. Steve-Bosse
1756,Seo Hee Ham vs Bec Rawlings,Seo-Hee-Ham,1.91,2.08,Bec-Rawlings,Bec-Rawlings vs. Seo-Hee-Ham
1757,Brendan O'Reilly vs Alan Jouban,Brendan-O'Reilly,5.35,1.22,Alan-Jouban,"Alan-Jouban', ""Brendan-O'Reilly""]"
1758,Daniel Hooker vs Mark Eddiva,Mark-Eddiva,2.75,1.55,Daniel-Hooker,Daniel-Hooker vs. Mark-Eddiva
1759,Leslie Smith vs Rin Nakai,Rin-Nakai,2.3,1.76,Leslie-Smith,Leslie-Smith vs. Rin-Nakai
1760,Richard Walsh vs Viscardi Andrade,Richard-Walsh,1.87,2.07,Viscardi-Andrade,Richard-Walsh vs. Viscardi-Andrade
1761,Ross Pearson vs Chad Laprise,Chad-Laprise,1.95,2.05,Ross-Pearson,Chad-Laprise vs. Ross-Pearson
1762,Damien Brown vs Alan Patrick,Damien-Brown,3.2,1.42,Alan-Patrick,Alan-Patrick vs. Damien-Brown
1763,Nate Diaz vs Conor McGregor,Conor-McGregor,1.25,5.0,Nate-Diaz,Conor-McGregor vs. Nate-Diaz
1764,Holly Holm vs Miesha Tate,Holly-Holm,1.38,3.5,Miesha-Tate,Holly-Holm vs. Miesha-Tate
1765,Ilir Latifi vs Gian Villante,Gian-Villante,2.75,1.61,Ilir-Latifi,Gian-Villante vs. Ilir-Latifi
1766,Corey Anderson vs Tom Lawlor,Tom-Lawlor,3.6,1.38,Corey-Anderson,Corey-Anderson vs. Tom-Lawlor
1767,Brandon Thatch vs Siyar Bahadurzada,Brandon-Thatch,1.33,3.8,Siyar-Bahadurzada,Brandon-Thatch vs. Siyar-Bahadurzada
1768,Erick Silva vs Nordine Taleb,Erick-Silva,1.45,3.06,Nordine-Taleb,Erick-Silva vs. Nordine-Taleb
1769,Vitor Miranda vs Marcelo Guimaraes,Marcelo-Guimaraes,3.65,1.37,Vitor-Miranda,Marcelo-Guimaraes vs. Vitor-Miranda
1770,Darren Elkins vs Chas Skelly,Chas-Skelly,1.65,2.45,Darren-Elkins,Chas-Skelly vs. Darren-Elkins
1771,Jim Miller vs Diego Sanchez,Jim-Miller,1.67,2.5,Diego-Sanchez,Diego-Sanchez vs. Jim-Miller
1772,Justin Salas vs Jason Saggo,Justin-Salas,2.85,1.5,Jason-Saggo,Jason-Saggo vs. Justin-Salas
1773,Julian Erosa vs Teruto Ishihara,Julian-Erosa,1.61,2.6,Teruto-Ishihara,Julian-Erosa vs. Teruto-Ishihara
1774,Michael Bisping vs Anderson Silva,Anderson-Silva,1.38,3.4,Michael-Bisping,Anderson-Silva vs. Michael-Bisping
1775,Gegard Mousasi vs Thales Leites,Thales-Leites,3.75,1.34,Gegard-Mousasi,Gegard-Mousasi vs. Thales-Leites
1776,Tom Breese vs Keita Nakamura,Keita-Nakamura,9.26,1.13,Tom-Breese,Keita-Nakamura vs. Tom-Breese
1777,Brad Pickett vs Francisco Rivera,Francisco-Rivera,1.67,2.6,Brad-Pickett,Brad-Pickett vs. Francisco-Rivera
1778,Makwan Amirkhani vs Mike Wilkinson,Mike-Wilkinson,2.6,1.59,Makwan-Amirkhani,Makwan-Amirkhani vs. Mike-Wilkinson
1779,Davey Grant vs Marlon Vera,Marlon-Vera,2.65,1.57,Davey-Grant,Davey-Grant vs. Marlon-Vera
1780,Scott Askham vs Chris Dempsey,Chris-Dempsey,4.15,1.3,Scott-Askham,Chris-Dempsey vs. Scott-Askham
1781,Arnold Allen vs Yaotzin Meza,Yaotzin-Meza,3.91,1.32,Arnold-Allen,Arnold-Allen vs. Yaotzin-Meza
1782,Brad Scott vs Krzysztof Jotko,Brad-Scott,2.48,1.63,Krzysztof-Jotko,Brad-Scott vs. Krzysztof-Jotko
1783,Rustam Khabilov vs Norman Parke,Norman-Parke,3.15,1.44,Rustam-Khabilov,Norman-Parke vs. Rustam-Khabilov
1784,Daniel Omielanczuk vs Jarjis Danho,Jarjis-Danho,2.1,1.87,Daniel-Omielanczuk,Daniel-Omielanczuk vs. Jarjis-Danho
1785,Teemu Packalen vs Thibault Gouti,Thibault-Gouti,1.81,2.13,Teemu-Packalen,Teemu-Packalen vs. Thibault-Gouti
1786,Martin Svensson vs David Teymur,Martin-Svensson,2.74,1.67,David-Teymur,David-Teymur vs. Martin-Svensson
